3289936, 2240812, 3232809, 2000000
30408, 622853, -669401, 844810
3983196, 3966332, 3232807, 4625568
929672, 476353, -669401, 844810
1485689, 3597734, 1951675, 3073734
69493, 1886070, -669401, 844810
2146060, 3999371, 2300657, 4128792
3228558, 3890086, 3232807, 4625568
3031444, 2295853, 2928827, 2611422
374444, 3977240, -888612, 4039783
1207660, 2710720, 1951675, 3073734
3851310, 61626, 4807592, 976495
3195193, 3022787, 2928827, 2611422
1784895, 2111901, 1951675, 3073734
2894075, 2427030, 2928827, 2611422
3301867, 803327, 3232809, 2000000
2506616, 3673347, 2300657, 4128792
2628426, 3054377, 1951675, 3073734
2521975, 1407505, 3232809, 2000000
2825447, 2045173, 3232809, 2000000
2261212, 2535886, 2928827, 2611422
3956000, 1616443, 3232809, 2000000
3870784, 2872668, 2928827, 2611422
